ID;Timestamp;Artist;Title;From Wishlist
28;2020.07.25 07:41:43 pm;Stevie B;Funky Melody;0
27;2020.07.25 07:36:36 pm;Johnny o;Fantasy Girl;0
26;2020.07.25 07:22:00 pm;Ömer Faruk Bostan;Erik Dalı / Sendemi Oldun Ankaralı / Huriyem;0
25;2020.07.25 07:15:38 pm;DJBünyamin;Turkish Halay;0
24;2020.07.25 07:14:13 pm;Unspecified;Turkish Halay;0
23;2020.07.25 07:09:05 pm;Carlos Vives, Shakira;La Bicicleta;0
22;2020.07.25 07:05:28 pm;Juanes;La Camisa Negra;0
21;2020.07.25 07:02:21 pm;Enrique Iglesias, CNCO;SUBEME LA RADIO REMIX;0
20;2020.07.25 07:00:08 pm;Camila Cabello;Liar;0
19;2020.07.25 06:56:59 pm;Shawn Mendes, Camila Cabello;Señorita;0
18;2020.07.25 06:53:51 pm;Tones and I;Dance Monkey;0
17;2020.07.25 06:51:12 pm;LSD, Sia, Diplo, Labrinth;Thunderclouds;0
16;2020.07.25 06:48:07 pm;Tones and I;Ur So F**kInG cOoL;0
15;2020.07.25 06:44:19 pm;Los Del Río;Macarena (Bayside Boys Remix);0
14;2020.07.25 06:41:22 pm;Lou Bega;Mambo No. 5 (A Little Bit Of...);0
13;2020.07.25 06:39:35 pm;Britney Spears;...Baby One More Time;0
12;2020.07.25 06:35:55 pm;Backstreet Boys;I Want It That Way;0
11;2020.07.25 06:32:36 pm;Gwen Stefani, Akon;The Sweet Escape;0
10;2020.07.25 06:26:51 pm;Chris Brown;Yeah 3x;0
9;2020.07.25 06:24:25 pm;Rihanna, Calvin Harris;We Found Love;0
8;2020.07.25 06:21:10 pm;Lucenzo, Don Omar;Danza Kuduro;0
7;2020.07.25 06:19:36 pm;Yolanda Be Cool, Dcup;We No Speak Americano (JT Radio Edit);0
6;2020.07.25 06:16:32 pm;Alexandra Stan;Mr. Saxobeat;0
5;2020.07.25 06:14:14 pm;Michael Gray;The Weekend;0
4;2020.07.25 04:57:14 pm;Pitbull, Ne-Yo;Time of Our Lives;0
3;2020.07.25 04:50:21 pm;Edward Maya, Vika Jigulina;Stereo Love;0
2;2020.07.25 04:46:18 pm;Sia;Clap Your Hands;0
1;2020.07.25 02:36:56 pm;Jawsh 685, Jason Derulo;Savage Love (Laxed - Siren Beat);0
